n1,n2,weight
58351,58790,-1
40149,39488,1
58352,58035,-1
40150,57985,1
40151,39458,1
40152,57924,1
40153,39546,1
40154,57946,1
40155,57946,1
40156,57868,1
40157,39544,1
40158,80644,1
40159,39521,1
40159,58026,1
58353,58039,-1
58354,39488,-1
58355,39844,-1
58356,58030,-1
40160,80642,1
40161,80642,1
58357,57879,-1
40162,57917,1
40163,80642,1
58358,57938,-1
40164,39489,1
40165,39533,1
58359,57887,-1
58359,39402,-1
58359,39401,-1
58359,39403,-1
58360,39415,-1
58361,39456,-1
58362,57937,-1
58363,80646,-1
58364,39830,-1
58365,39520,-1
58365,58025,-1
58366,39492,-1
58367,40056,-1
40166,39504,1
58368,39515,-1
58369,57864,-1
40167,58050,1
58370,39422,-1
40168,39546,1
40169,39448,1
40170,80642,1
40171,39457,1
58371,57907,-1
58371,39432,-1
58372,39411,-1
58373,57868,-1
58374,39484,-1
40172,58012,1
40173,39474,1
58375,39790,-1
58376,40157,-1
58377,40096,-1
58378,39900,-1
58379,39887,-1
58380,40108,-1
58381,39884,-1
40174,39973,1
40175,39917,1
58382,39772,-1
58383,39692,-1
58384,58108,-1
58385,40133,-1
58386,39872,-1
58387,40024,-1
58388,39785,-1
58389,40044,-1
58390,39827,-1
58391,40058,-1
58391,58302,-1
58392,58363,-1
58393,40025,-1
58394,39921,-1
58395,39785,-1
58396,39895,-1
58397,39772,-1
58398,40074,-1
58398,40075,-1
58399,40144,-1
58400,58063,-1
58401,40113,-1
58402,58058,-1
58403,39749,-1
40176,40055,1
58404,39771,-1
58405,58362,-1
58406,58155,-1
58407,39747,-1
58408,39819,-1
58409,58370,-1
58410,58827,-1
40177,58307,1
58411,58195,-1
58412,40172,-1
58413,40091,-1
58414,40083,-1
58414,40082,-1
40178,58215,1
40179,39808,1
58415,40116,-1
58416,39844,-1
58417,39720,-1
58418,40069,-1
58418,58304,-1
58419,39749,-1
58420,39852,-1
58421,58075,-1
58422,58368,-1
58423,39700,-1
58424,39726,-1
58425,40046,-1
58426,39768,-1
58427,58363,-1
58428,58154,-1
58428,58153,-1
58428,58152,-1
58429,39708,-1
58430,58341,-1
58430,40132,-1
58431,39819,-1
58432,39942,-1
58433,39910,-1
58434,39705,-1
58435,39910,-1
58436,58060,-1
40180,58134,1
58437,39825,-1
58438,39747,-1
58439,58341,-1
58439,40132,-1
58440,58108,-1
58441,58305,-1
58442,40150,-1
58443,39952,-1
58444,39765,-1
58444,58119,-1
58445,40168,-1
40181,58215,1
40182,58215,1
58446,40163,-1
58447,40161,-1
58448,58288,-1
58449,39798,-1
58450,39712,-1
58451,39844,-1
58452,39763,-1
58453,58242,-1
58454,39747,-1
58455,58304,-1
58455,40069,-1
58456,58326,-1
58457,39958,-1
58457,58236,-1
58458,40159,-1
58459,39742,-1
58460,58060,-1
58461,58060,-1
58462,40102,-1
58463,39717,-1
58464,39738,-1
58465,39921,-1
58466,40029,-1
58467,39710,-1
58468,40150,-1
58469,58368,-1
58470,40028,-1
58471,39824,-1
58472,58270,-1
58473,40110,-1
58474,39801,-1
58475,39804,-1
58476,39742,-1
58477,39949,-1
58478,58178,-1
40183,39808,1
58479,40032,-1
58480,39712,-1
58481,39824,-1
58482,58164,-1
58482,39812,-1
58483,39730,-1
58484,40043,-1
58485,58165,-1
58486,39787,-1
58487,58135,-1
58488,39731,-1
58489,39730,-1
58490,39819,-1
58491,39931,-1
58492,58117,-1
58492,58118,-1
58492,39764,-1
58493,58122,-1
58494,39739,-1
58495,40060,-1
58496,39921,-1
58497,40101,-1
58498,40101,-1
58499,40101,-1
58500,39748,-1
58501,39945,-1
58502,40027,-1
58503,39982,-1
58504,39710,-1
58505,39717,-1
58506,39877,-1
58507,39877,-1
58508,39807,-1
58509,39798,-1
40184,58169,1
58510,58093,-1
58511,39872,-1
58512,40098,-1
58512,40099,-1
58513,58053,-1
58514,58151,-1
58514,58150,-1
40185,58077,1
58515,39709,-1
58516,39739,-1
58517,39712,-1
58518,39945,-1
58519,39945,-1
58520,58154,-1
58520,58153,-1
58520,58152,-1
58521,58153,-1
58521,58152,-1
58521,58154,-1
58522,58155,-1
58523,39748,-1
58524,58253,-1
58524,39998,-1
58525,39766,-1
58525,58120,-1
40186,39945,1
58526,39730,-1
58527,39957,-1
58527,58235,-1
58528,39884,-1
58529,39748,-1
58530,39784,-1
58530,58145,-1
58531,39741,-1
58532,39741,-1
58533,39742,-1
58534,58122,-1
